"country","region","year","water_source_type","water_treatment_method","contaminant_ppm","ph_level","bacteria_count","access_clean_water_pct","diarrheal_cases_per_100k","infant_mortality_rate","gdp_per_capita_usd","healthcare_access_index","sanitation_coverage_pct"
"Ethiopia","South",2000,"Lake","Filtration",8.47,6.67,3835,91.68,438,33.17,51641,43.25,98.28
"China","West",2018,"Spring","None",0.64,7.63,4428,42.81,411,83.44,59746,27.48,56.99
"Mexico","Central",2000,"Lake","None",0.32,6.34,4450,35.51,316,80.39,84224,17.49,74.06
"Brazil","West",2020,"River","Chlorination",2.59,7.3,3630,95.98,76,99.85,69361,15.85,78.28
"Pakistan","Central",2020,"River","Chlorination",9.01,7.92,4942,51.63,182,27.24,6473,77.56,70.31
"China","North",2015,"Pond","None",8.24,6.41,162,95.52,365,8.06,55543,11.69,91.32
"Nigeria","North",2011,"Well","None",6.83,7.88,115,74.63,291,45.41,72246,61.6,43.05
"China","West",2021,"Lake","Chlorination",7.01,7.9,1470,98.6,457,10.17,17761,16.75,62.58
"Mexico","East",2007,"Well","None",7.27,6.15,3079,82.74,201,19.49,82551,83.78,54.42
"Nigeria","Central",2015,"Tap","Filtration",9.43,6.05,3852,37.38,388,60.54,38435,27.45,76.33
"Pakistan","South",2000,"River","Chlorination",8.32,8.43,2838,89.66,156,60.03,81950,4.49,51.61
"Mexico","West",2003,"Pond","None",6.23,6.48,542,40.35,99,6.25,93264,45.21,91.43
"India","South",2009,"Tap","Boiling",6.66,8.06,413,78.45,395,45.4,1492,99.98,59.23
"Brazil","West",2010,"Pond","Boiling",2.14,7.4,681,65.03,121,53.96,39040,81.31,62.88
"Pakistan","East",2016,"Spring","Chlorination",6.57,6.66,641,79.54,405,28.27,89818,57.03,59.47
"India","East",2024,"River","Boiling",4.25,6.32,3978,83.55,314,87.46,26835,18.94,69.81
"Ethiopia","East",2022,"Tap","Boiling",1.53,7.24,1432,86.26,109,17.79,68632,11.75,60.83
"Pakistan","East",2006,"Spring","Filtration",8.06,7.02,668,88.45,166,26.88,93711,83.86,94.99
"Ethiopia","North",2011,"Tap","Chlorination",5.1,7.75,2069,89.31,129,17.39,3449,78.77,30.49
"Nigeria","North",2020,"Pond","Boiling",9.77,8.26,968,58.88,269,13.42,22225,46.22,21.07
"India","Central",2006,"Spring","None",2.82,8.01,1180,92.25,137,88.14,30571,42.14,61.74
"Brazil","South",2011,"Spring","Chlorination",4.81,6.69,4819,80.37,175,29.23,25977,74.87,81.17
"Mexico","West",2014,"River","Chlorination",4.48,8.2,3235,88.73,63,72.81,53136,53.6,71.86
"Indonesia","West",2001,"Well","Boiling",1.21,8.08,251,99.24,130,43.94,71626,40.42,97.02
"China","North",2013,"Pond","Boiling",4.26,8.32,4300,38.15,327,64.32,40505,25.17,34.58
"USA","West",2012,"Pond","Filtration",2.88,7.15,2879,55.94,187,92.96,78665,12.26,75.52
"Brazil","North",2003,"Spring","None",1.6,7.92,3998,86.46,464,84.77,66101,59.48,85.27
"India","Central",2013,"Spring","Filtration",2.82,7.48,790,36.04,451,8.76,13394,82.6,92.97
"Indonesia","South",2013,"River","Filtration",2.33,6.78,4560,67.85,276,84.83,69800,74.62,62.28
"Brazil","Central",2015,"Well","None",7.34,8.49,1495,90.09,349,46.28,19677,69.63,49.05
"India","East",2006,"Pond","Boiling",0.31,6.1,4489,31.33,146,36.31,5977,92.89,96.43
"Bangladesh","East",2018,"Lake","Filtration",6.17,6.41,3068,95.77,334,67.89,78681,39.45,83.32
"Bangladesh","East",2001,"Lake","Chlorination",7.61,8.23,2707,98.47,19,95.12,67451,13.72,57.67
"Ethiopia","Central",2009,"Well","Filtration",4.81,6.15,2577,52.56,313,11.23,63149,10.19,72.09
"Brazil","West",2017,"Tap","None",9.32,8.22,1235,83.68,41,77.27,38692,95.5,42.29
"Bangladesh","South",2016,"River","Filtration",7.08,7.79,1058,38.9,349,21.94,6707,58.9,69.19
"India","East",2004,"Well","Filtration",7.48,6.09,1170,84.1,393,39.25,8869,81.08,63.2
"Ethiopia","East",2011,"Lake","Chlorination",1.97,7.07,3618,63.71,406,87.63,82654,53.56,23.14
"India","East",2005,"Spring","None",7.77,7.89,3659,90.22,343,55.49,66797,39.85,89.26
"Ethiopia","South",2021,"Lake","Chlorination",8.32,7.46,3655,44.88,139,8.61,87826,20.03,59.22
"Brazil","East",2008,"Spring","Boiling",3.61,8.34,56,77.09,8,51.79,1782,85.64,58.38
"Indonesia","South",2019,"River","None",2.13,8.17,1892,85.03,78,79.38,81862,6.35,42.67
"Mexico","East",2000,"Spring","Filtration",3.85,6.83,2569,44.17,412,53.83,18147,90.02,35.71
"Pakistan","Central",2021,"Well","Chlorination",7.4,6.21,4080,87.28,337,18.36,94186,20.5,43.31
"Indonesia","Central",2014,"Spring","Chlorination",4.18,8.36,4456,97.06,147,45.61,88123,0.95,72
"Nigeria","South",2020,"Tap","None",7.37,7.29,1948,73.13,192,92.59,36881,10.39,27.81
"India","Central",2005,"Well","Chlorination",1.14,6.19,222,84.94,258,66.5,37714,88.35,46.63
"Nigeria","South",2018,"River","None",8.06,8.04,1639,67.28,135,73.53,89529,7.37,98.3
"Indonesia","Central",2017,"Well","Boiling",2.53,8.17,4422,71.87,38,79.02,69419,35.52,41.72
"Ethiopia","Central",2005,"Tap","None",2.49,7.6,1757,30.93,319,10.89,85429,25.03,97.33
"Pakistan","South",2012,"River","None",5.9,7.12,835,66.7,286,58.99,51274,3.69,28.38
"Pakistan","West",2000,"Lake","Boiling",0.7,7.66,2536,70.29,366,38.84,27954,53.15,83.52
"USA","Central",2022,"Tap","Boiling",0.26,7.77,2525,76.9,455,15.64,529,99.83,55.18
"Pakistan","East",2022,"River","Filtration",2.61,8.23,984,41.86,462,21.87,49960,85.3,35.59
"Mexico","West",2012,"Spring","Chlorination",5.38,8.39,1357,46.9,378,78.55,75737,16.89,82.99
"Pakistan","South",2006,"Well","Boiling",9.08,7.29,4887,82.92,149,17.83,84513,88.43,20.56
"Indonesia","West",2014,"River","Boiling",8.46,8,3060,41.73,351,32.62,53082,45.18,47.77
"USA","North",2011,"Well","Chlorination",4.9,8.41,4477,59.12,4,29.92,83194,27.33,68.39
"Indonesia","North",2000,"Spring","Chlorination",0.37,6.38,1446,47.53,235,6.77,84018,64.03,38.48
"Indonesia","Central",2014,"River","Filtration",5.35,6.05,1371,68.16,235,47.29,75682,21.67,46.6
"China","Central",2003,"Lake","Filtration",7.05,8.17,3224,99.08,313,77.06,35871,87.97,27.32
"USA","East",2012,"Tap","None",3.39,6.49,1874,89.64,456,4.17,2980,62.42,88.26
"Indonesia","West",2022,"River","Filtration",1.11,6.11,2499,48.86,104,13.03,9538,13.6,53.77
"China","North",2024,"Spring","Boiling",2.79,6.4,3361,55.8,206,72.58,25282,57.06,31.62
"China","Central",2004,"River","Boiling",7.72,6.96,1142,94.3,238,60.17,63944,51.04,35.93
"USA","West",2001,"Well","Chlorination",3.51,6.55,4309,92.88,318,72.09,60337,47.15,42.01
"Nigeria","Central",2022,"Pond","Filtration",8.12,6.76,564,41.24,316,24.55,85550,36.5,38.36
"Ethiopia","Central",2000,"River","None",3.2,8.44,4827,88.05,51,80.77,9921,47.42,60.26
"Mexico","North",2015,"Lake","None",1.64,7.76,4534,50.83,107,49.03,49598,58.6,92.42
"Ethiopia","North",2022,"River","None",4.36,7.78,1588,68.07,356,61.81,88894,73.36,34.71
"Pakistan","Central",2005,"Tap","None",4.52,6.24,3985,30.36,32,11.03,87111,91.79,56.28
"Mexico","South",2022,"River","Chlorination",0.16,7.83,4724,99.9,21,22.09,23552,4.44,73.11
"Pakistan","Central",2015,"Pond","Filtration",1.17,7.85,4998,83.28,306,77.79,68832,56.93,34.7
"Indonesia","Central",2013,"Well","Filtration",1.85,7.65,1470,46.92,10,23.94,34395,75.2,32.32
"India","East",2002,"River","Filtration",1.14,6.57,3914,77.87,126,11.07,72538,11.56,32.43
"USA","East",2014,"Lake","Filtration",3.42,7.06,3113,50.53,441,60.53,46110,91.15,90.56
"Mexico","East",2002,"Spring","None",9.65,8.12,4490,36.26,49,55.7,1787,24.5,76.9
"Mexico","South",2022,"River","None",5.09,7.68,4342,59.77,197,61.57,87270,83.33,46.91
"Indonesia","South",2001,"River","Chlorination",6.28,7.83,3362,72.96,16,62.59,25624,66.2,92.2
"Nigeria","Central",2000,"Tap","Chlorination",3.56,7.47,1636,36.28,429,51.02,20829,55.95,96.28
"China","East",2008,"Lake","None",3.23,7.12,2912,66.29,43,50.39,37197,86.92,51.86
"Indonesia","South",2008,"Pond","Boiling",0.23,7.9,1472,66.04,184,92.57,59117,96.92,60.84
"Bangladesh","North",2022,"Spring","Filtration",5,6.17,1244,74.01,388,54.32,63083,99.71,48.65
"China","Central",2006,"Well","Chlorination",4.84,7.68,3737,47.13,38,62.5,25882,68.33,38.2
"USA","West",2002,"River","None",1.58,8.49,2098,31.44,441,28.16,67963,33.91,82.4
"China","Central",2017,"Pond","Filtration",7.64,7.95,2597,52.74,495,87.37,93745,87.47,71.93
"Nigeria","West",2010,"Spring","Filtration",4.93,6.73,2512,57.9,136,4.39,30405,65.43,49.35
"China","East",2006,"Well","None",3.39,6.69,4514,74.5,476,56.61,90394,32.33,21.15
"USA","West",2008,"Pond","Boiling",1.47,7.67,258,95.11,278,39.62,20865,93.24,81.09
"Nigeria","East",2000,"Lake","Boiling",5.52,8.24,2358,44.24,430,61.18,18629,74.77,58.19
"Ethiopia","North",2013,"Lake","Chlorination",7.53,7.44,3393,78.11,163,37.3,29484,45.28,25.85
"Mexico","West",2019,"Spring","None",2.82,7.32,3778,36.82,30,72.33,46858,45.45,29.96
"Mexico","Central",2005,"Well","Chlorination",2.19,6.4,3411,43.34,339,3.99,78711,99.59,70.27
"Pakistan","East",2006,"Lake","Boiling",5.22,7.79,1268,65.64,22,41.78,24990,37.37,63.71
"Ethiopia","Central",2009,"Spring","Chlorination",1.55,7.76,939,79.59,439,83.46,55934,9.41,39.24
"Ethiopia","South",2006,"Lake","Chlorination",6.67,8.42,2376,90.1,198,26.52,6471,53.86,31.19
"China","East",2001,"Lake","Boiling",6.05,6.75,3951,82.07,173,7.17,18950,88.49,90.78
"Mexico","West",2003,"Pond","Filtration",0.87,7.89,195,31.07,57,50.66,15156,58.45,30.79
"USA","East",2020,"Pond","Filtration",0.37,7.09,4157,77.88,419,97.7,41554,79.31,26.85
"Brazil","Central",2016,"Lake","Boiling",6.2,7.4,3096,87.73,195,8.29,98933,5.49,69.6
"Brazil","North",2000,"Tap","Filtration",2.94,8.04,3635,66.79,87,8.87,7772,67.34,40.2
"Nigeria","East",2009,"Pond","None",0.86,6.55,561,97.59,443,60.32,40356,7.92,72.53
"Mexico","West",2018,"Well","Filtration",7.59,6.86,3449,30.3,141,26.51,69304,55.64,59.13
"Mexico","South",2014,"Spring","Boiling",3.14,7.93,3366,87.31,280,42.2,27029,49.78,36.9
"Brazil","North",2009,"Spring","None",4.6,7.43,3123,53.44,454,83.39,34254,94.56,25.57
"Mexico","South",2018,"Well","Chlorination",2.37,6.23,2891,75.53,206,21.49,36378,13.25,25.65
"China","East",2011,"Well","Boiling",6.27,7.08,39,78.54,171,72.49,20456,0.95,66.87
"Bangladesh","Central",2023,"Well","Boiling",3.01,7.47,1767,51.44,301,51.44,58660,13.74,80.66
"India","Central",2015,"Well","Filtration",9.68,8.27,2504,99.68,396,90.69,24182,17.07,75.17
"Ethiopia","West",2008,"River","None",7.03,6.47,787,37.23,317,97.35,96909,25.09,67.43
"Pakistan","Central",2014,"Spring","Boiling",1.37,8.01,1876,40.99,274,49.53,35868,81.51,36.87
"Nigeria","North",2016,"River","None",4.17,6.33,4097,92.45,395,59.3,48948,37.69,88.94
"Bangladesh","Central",2013,"Lake","None",3.85,6.61,1492,38.34,367,75.09,35437,84.08,70.31
"Brazil","West",2017,"Lake","Filtration",5.34,6.61,1129,56.69,345,33.23,18663,27.19,75.54
"Ethiopia","East",2001,"Spring","Boiling",8.42,8.19,2263,81.32,47,24.22,17640,86.05,37.91
"Mexico","East",2003,"Lake","None",5.83,6.5,4872,85.4,160,96.54,34435,0.81,40.92
"Pakistan","Central",2017,"Well","None",0.62,7.97,4509,96.83,462,44.4,24237,93.45,92.6
"Mexico","South",2006,"River","Chlorination",6.55,7.15,4021,85.27,164,2.16,35862,74.6,58.09
"USA","East",2012,"Well","Filtration",0.08,8.5,4305,89.12,389,84.1,87750,41.27,64.31
"USA","Central",2014,"Lake","Boiling",7.8,8.1,2185,96.46,378,60.77,3604,57.73,28.86
"Pakistan","West",2024,"Pond","None",6.67,7.85,1644,68.76,216,18.52,33673,93.3,51.57
"Pakistan","Central",2022,"River","Filtration",3.09,8.18,3560,54.04,116,4.95,2911,58.26,90.96
"Brazil","East",2021,"Well","Boiling",2.92,7.59,2685,83.31,336,30.57,28103,22.86,92.01
"Pakistan","West",2000,"Spring","None",7.98,8.11,4821,41.45,426,92.93,98483,57.29,78.41
"China","Central",2010,"Well","Boiling",7.83,6.65,1412,34.78,250,93.48,61931,87.14,63.65
"Mexico","North",2009,"Pond","Boiling",3.52,6.24,1221,84.97,355,32.48,90774,98.74,94.47
"Bangladesh","West",2024,"Lake","Filtration",2.99,7.54,2249,96.55,433,83.92,77039,58.41,89.75
"Indonesia","North",2004,"River","Filtration",5.6,7.09,2239,60.97,243,45.3,13338,15.56,87.71
"Pakistan","South",2015,"Spring","Chlorination",0.08,7.07,4202,41.28,429,66.13,74358,77.18,90.54
"Nigeria","West",2010,"River","Chlorination",0.83,7.32,4422,64.79,246,34.78,85587,99.69,56.26
"USA","North",2020,"Spring","Chlorination",1.26,6.9,643,57.53,72,52.57,52352,47.36,62.04
"China","East",2005,"River","None",1.85,7.57,4452,56.07,283,30.79,76545,38.37,53.92
"Ethiopia","East",2008,"Lake","Chlorination",5.12,6.08,2548,73.97,482,7.99,44411,55.25,79.21
"Indonesia","South",2012,"Spring","Boiling",9.92,8.42,4603,42.23,194,15.66,57186,16.48,67.35
"Bangladesh","West",2023,"Tap","Filtration",6.53,8.31,3805,56.63,266,30.49,38150,97.13,25.58
"Indonesia","West",2007,"River","Boiling",0.61,8.34,4290,90.81,403,97.67,93024,83.83,30.93
"Pakistan","West",2013,"River","Filtration",5.26,6.91,4142,81.08,86,96.64,35201,11.3,35.39
"Brazil","South",2023,"Well","Filtration",4.97,7.33,1385,33.89,245,83.11,85925,94.51,73.64
"USA","West",2000,"Spring","Boiling",1.44,8.39,2584,65.97,157,24.79,69015,94.28,28.78
"USA","East",2016,"Pond","Boiling",9.2,8.26,1601,36.39,356,45.28,67382,31.64,63.27
"Ethiopia","North",2023,"Tap","None",4.41,7.98,4942,97.02,35,45.1,78028,61.91,87.27
"Brazil","East",2004,"Lake","Filtration",9.95,7.02,4804,47.12,235,39.92,68672,11.08,95.8
"Mexico","East",2024,"Well","Chlorination",4.2,7.41,3317,95.28,247,6.4,31427,8.42,54.26
"India","North",2001,"Tap","None",6.08,7.98,807,88.38,459,54.38,64335,50.18,62.67
"China","East",2024,"Spring","Chlorination",1.05,6.68,2659,68.6,99,9.14,25120,4.97,86.52
"USA","South",2023,"Tap","None",4.54,7.57,114,53.54,226,80.59,846,87.49,94.86
"Nigeria","North",2008,"River","Filtration",2.39,8.07,2727,90.06,118,69.75,46269,92.81,51.19
"USA","East",2003,"River","Boiling",8.36,7.77,4726,40.69,353,36.57,20677,6.73,48.24
"Indonesia","Central",2016,"Well","Boiling",7.84,7.2,2266,42.6,195,65.42,16699,4.73,56.07
"USA","East",2016,"Spring","Filtration",8.24,7.46,4292,45.73,87,24.84,13434,22.14,40.3
"USA","South",2020,"Spring","Boiling",7.24,8.47,4496,71.84,35,27.99,64521,93,88.77
"India","West",2017,"Tap","Filtration",8.33,7.5,3901,52,313,32.79,29529,76.9,45.46
"India","East",2015,"Well","Filtration",2.01,7.96,2728,99.24,27,80.11,71036,67.65,55.96
"Bangladesh","West",2007,"Spring","Filtration",4.52,7.82,4171,43.66,38,22.65,41519,77.63,45.6
"Mexico","Central",2010,"Pond","None",6.92,7.75,1449,86.39,321,57.15,19229,19.95,29.51
"Nigeria","East",2020,"Pond","Boiling",6.37,7.79,4382,36.71,426,21.65,81819,25.66,68.53
"USA","North",2020,"River","None",7.16,7.14,1568,54.74,4,29.93,69802,31.76,67.01
"USA","West",2017,"Tap","Chlorination",2.24,7.19,1322,47.06,475,25.08,99251,60.51,43.59
"China","Central",2022,"Lake","Filtration",0.98,7.17,860,98.38,140,65.21,31832,60.82,22.51
"India","North",2023,"River","Boiling",9.17,6.08,741,31.8,227,53.62,35683,20.86,94.94
"Nigeria","North",2009,"Well","Chlorination",5.6,6.6,1730,80.52,8,72.69,46109,43.67,48.44
"Ethiopia","North",2012,"Spring","Filtration",1.54,6.39,4904,47.34,358,23.55,38416,69,63.1
"Bangladesh","North",2016,"River","Chlorination",7.93,8.22,2933,86.79,477,2.9,3535,30.96,31.5
"Mexico","East",2017,"Lake","None",9.15,6.69,3518,51.79,56,68.69,68360,7.55,40.09
"Brazil","East",2009,"Lake","None",1.7,6.35,4509,43.11,282,13.26,89172,19.74,54.82
"Mexico","East",2015,"Pond","Boiling",8.17,6.3,4526,78.51,444,26.14,97458,16.47,64.98
"Indonesia","Central",2019,"Well","Chlorination",9.33,7.75,3167,48.03,460,31.96,30574,63.19,88.32
"USA","Central",2004,"River","Chlorination",9.38,6.02,1918,63.99,489,75.19,87346,6.85,43.23
"Bangladesh","Central",2012,"Tap","None",9.14,7.18,2218,39.21,358,63.34,61901,88.47,89.74
"Indonesia","South",2017,"River","None",5.46,6.3,1340,80.72,177,20.06,25113,8.44,56.68
"Nigeria","Central",2016,"Pond","Boiling",3.56,8.12,4639,58.48,475,60.59,59074,59.79,54.61
"Brazil","East",2008,"Lake","Filtration",0.07,8.4,1514,39.84,81,71.4,6325,92.95,51.71
"India","East",2013,"Well","Boiling",0.61,8.4,1411,81.91,417,40.11,41087,6.24,90.89
"Bangladesh","South",2016,"Well","None",4.29,7.1,3036,37.24,84,26.1,41748,38.31,40.08
"Bangladesh","South",2003,"Tap","Boiling",3.99,7.61,4167,70.24,64,68.54,89538,32.79,88.59
"USA","Central",2017,"Well","Filtration",1.85,7.5,1022,72.52,428,61.87,88032,34.42,27.13
"Pakistan","West",2019,"Pond","None",3.95,6.88,4627,95.12,342,9.64,41204,60.03,96.43
"Bangladesh","South",2023,"Pond","Filtration",1.75,7.11,2286,40.57,289,67.33,63188,26.21,60.24
"China","North",2023,"Pond","Boiling",8.49,6.16,2758,75.73,355,49.87,14863,2.73,99.91
"Brazil","East",2014,"Well","Filtration",2.98,7.99,4672,56.65,456,75.83,13489,96.23,68.63
"Brazil","North",2010,"Well","None",5.99,6.6,3771,58.06,135,20.69,48360,74.88,29.41
"China","East",2011,"Pond","None",5.03,7.15,1112,65.13,249,27.31,60225,13.51,24.87
"Ethiopia","East",2008,"Well","Filtration",0.52,7.2,1945,46.36,497,55.24,38760,45.52,35.47
"China","South",2012,"Well","Boiling",9.42,7.4,4808,62.28,93,49.21,14638,6.27,53.69
"China","South",2014,"Lake","Boiling",5.27,8.04,1558,78.08,47,39.86,39972,2.79,79.78
"Brazil","North",2014,"River","Boiling",3.25,7.73,3879,62,419,75.11,89888,4.75,20.06
"Mexico","East",2004,"Spring","Boiling",1.58,7.66,641,32.98,99,57.35,99007,75.58,40.59
"Brazil","North",2022,"Well","Chlorination",3.39,7.32,2237,48.05,337,71.61,97657,44.49,67.01
"Pakistan","West",2018,"Spring","Chlorination",0.21,6.24,4907,54.6,193,17.02,22118,84.44,43.83
"USA","North",2019,"Spring","Filtration",3.64,7.01,3486,54.83,116,73.44,91655,30.52,48.56
"Indonesia","Central",2024,"Lake","Chlorination",5.31,8.39,3225,35.67,266,47.23,46563,77.53,44.06
"Mexico","North",2013,"Well","Chlorination",8.72,8.49,1014,61.47,307,5.31,18504,7.79,96.25
"India","Central",2016,"Pond","Chlorination",6.87,7.83,2021,78.44,163,24.98,52095,63.51,25.27
"Indonesia","Central",2017,"Spring","Filtration",1.12,6.57,2676,33.41,478,4.52,20720,36.06,92.6
"USA","Central",2020,"Well","Chlorination",1.48,6.25,1540,82.56,286,46.77,53383,27.67,45.86
"Pakistan","West",2002,"Tap","Boiling",4.28,7.04,2936,96.86,23,33.94,29524,81.51,39.72
"Pakistan","North",2001,"Pond","Boiling",1.96,8.14,3106,30.65,493,98.77,18021,5.19,90.66
"India","North",2000,"Tap","Filtration",0.28,7.8,783,43.56,404,87.11,11253,94.95,42.97
"Mexico","West",2009,"Tap","Filtration",8.05,8.21,670,68.04,95,82.92,74773,78.55,99
"Ethiopia","East",2018,"Spring","Filtration",0.2,7.54,2769,45.26,496,51.11,45837,35.56,63.85
"China","South",2016,"Tap","None",8.31,6.33,2573,83.52,253,81.09,91284,99.13,58.11
"Mexico","North",2011,"Lake","Chlorination",1.44,6.29,2584,51.85,413,28.15,31825,20.25,98.12
"Ethiopia","South",2000,"Lake","Filtration",9.75,6.12,4942,50.55,120,56.94,25835,40.24,38.14
"Pakistan","West",2011,"Spring","Filtration",6.04,7.42,1277,30.06,71,40.51,10036,88.49,92.72
"Brazil","East",2016,"Well","Filtration",7.35,6.61,3043,48.91,352,18.79,31585,99.68,67.32
"USA","East",2023,"River","Boiling",1.1,7.84,3172,45.24,370,9.12,33787,23.91,80.4
"India","East",2002,"Well","Filtration",8.62,7.72,3782,54.03,63,56.71,8500,74.31,66.56
"USA","West",2010,"Well","Boiling",8.39,6.8,177,40.34,242,11.57,86625,30.57,69.49
"Nigeria","Central",2016,"Well","Boiling",6.53,6.44,275,71.63,126,72.36,81277,76.65,32.39
"Nigeria","Central",2022,"Well","None",5.02,6.26,2359,46.71,372,92.3,28691,12.53,32.13
"Mexico","South",2002,"Pond","Filtration",7.21,7.84,3481,88.22,38,17.89,98342,33.62,51.77
"Pakistan","Central",2007,"River","None",0.06,7.13,4886,49.92,384,48.15,95660,7.5,47.71
"Pakistan","Central",2019,"Pond","Filtration",5.92,6.81,3359,44.76,352,74.4,13467,49.19,76.96
"China","East",2003,"Tap","Chlorination",8.47,8.14,1424,33.97,425,30.11,45074,70.15,77.82
"China","East",2020,"Well","Filtration",3.57,7.48,4122,81.79,76,92.23,13746,37.86,65.1
"China","South",2021,"Lake","Filtration",1.08,7.3,2960,65.57,469,89.07,72503,61.47,52.16
"Brazil","North",2006,"Spring","Filtration",4.21,7.86,2469,37.96,4,12.17,14847,56.91,74.14
"Indonesia","South",2013,"Spring","Filtration",7.27,8.04,3085,45.49,139,4.69,67858,29.46,74.99
"Bangladesh","South",2013,"Pond","Filtration",1.07,7.72,2372,99.91,251,97.69,84444,48.68,84.73
"Indonesia","West",2003,"Pond","Filtration",2.06,7.1,4068,86.42,156,95.73,15882,6.9,84.94
"USA","West",2015,"Lake","None",1.48,6.95,1590,54.49,258,43.38,67220,45.99,25.57
"Indonesia","South",2023,"Well","Chlorination",7.97,7.93,4380,67.98,316,6.96,80635,45.82,49.92
"Brazil","South",2021,"River","None",0.63,7.29,1112,59.12,434,62.65,82799,2.87,53.59
"USA","South",2000,"Tap","Chlorination",6.87,7.76,1068,32.55,419,30.75,98532,51.39,87.75
"Indonesia","Central",2016,"Spring","None",3.66,8.23,2545,84.51,366,93.8,80796,73.77,60.14
"Brazil","West",2024,"Tap","None",7.56,8.29,3649,80.19,236,79.88,9307,45.23,59.1
"Bangladesh","South",2009,"River","Filtration",9.64,6.69,1814,58.62,74,65.66,33703,64.6,64.3
"Indonesia","East",2021,"Pond","None",1.15,6.47,3907,89.21,473,29.88,38285,53.24,30.18
"Brazil","East",2015,"Spring","Chlorination",3.14,6.65,3731,67.43,385,70.72,52801,78.52,65.22
"China","Central",2015,"Tap","Boiling",8.1,7.88,2192,34.56,28,30.34,67583,51.45,64.12
"Pakistan","Central",2007,"Pond","Chlorination",2.66,6.93,81,48.16,40,5.69,54542,33.16,80.35
"China","North",2006,"River","None",2.15,6.43,3706,62.32,28,51.83,26210,82.76,70.73
"Pakistan","North",2005,"Tap","Boiling",8.25,6.25,3176,37.24,491,49.89,64978,6.76,96.4
"India","North",2015,"Well","Filtration",9.87,6.82,1825,69.98,99,76.77,41911,28.95,26.41
"India","Central",2019,"Pond","Boiling",5.57,6.34,81,38.44,319,86.84,16273,59.15,81.73
"India","Central",2015,"River","Filtration",2.78,6.39,93,44.04,57,36.74,70391,85.6,80.12
"Bangladesh","Central",2006,"Tap","Chlorination",3.99,7.71,342,92.58,210,46.05,81193,7.21,41.55
"China","East",2008,"Well","Boiling",1.7,6.05,2408,99.99,137,48.1,16210,9.61,75.88
"Pakistan","Central",2013,"Well","Boiling",7.62,6.29,1854,68.52,10,33.77,56503,28.24,72.75
"Brazil","East",2010,"River","Boiling",7.73,8.11,3999,73.38,390,74.85,32071,34.46,43.9
